,precision,recall,f1-score,support
Falciparum,0.9545454545454546,1.0,0.9767441860465116,21.0
Malariae,1.0,0.5833333333333334,0.7368421052631579,12.0
Ovale,0.0,0.0,0.0,10.0
Vivax,0.5172413793103449,1.0,0.6818181818181818,15.0
accuracy,0.7413793103448276,0.7413793103448276,0.7413793103448276,0.7413793103448276
macro avg,0.6179467084639498,0.6458333333333334,0.5988511182819628,58.0
weighted avg,0.6862771592260297,0.7413793103448276,0.682431136162196,58.0
