model,classifier,source_species,target_species,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_test
convnext_tiny,RF,Falciparum,Vivax,0.4666666666666667,0.7037037037037037,0.7948717948717948,0.7948717948717949,0.7037037037037037,0.4666666666666667,0.5851851851851851,0.3718518518518518,0.37582301400141443,,3
convnext_tiny,LR,Falciparum,Vivax,0.7333333333333333,0.7925925925925926,0.7925925925925926,0.7333333333333333,0.7925925925925926,0.7333333333333333,0.7925925925925926,0.7333333333333333,0.4915254237288136,,3
convnext_tiny,KNN_1,Falciparum,Vivax,0.6666666666666666,0.725925925925926,0.6777777777777777,0.7755555555555557,0.725925925925926,0.6666666666666666,0.6027568922305764,0.6659147869674185,0.40883478787554234,,3
convnext_tiny,KNN_3,Falciparum,Vivax,0.6666666666666666,0.725925925925926,0.6777777777777777,0.7755555555555557,0.725925925925926,0.6666666666666666,0.6027568922305764,0.6659147869674185,0.40883478787554234,,3
convnext_tiny,KNN_5,Falciparum,Vivax,0.6666666666666666,0.725925925925926,0.6777777777777777,0.7755555555555557,0.725925925925926,0.6666666666666666,0.6027568922305764,0.6659147869674185,0.40883478787554234,,3
convnext_tiny,RF,Falciparum,Ovale,0.2,0.3333333333333333,0.07407407407407407,0.06666666666666667,0.2222222222222222,0.2,0.1111111111111111,0.1,-0.2545875386086578,,2
convnext_tiny,LR,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
convnext_tiny,KNN_1,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
convnext_tiny,KNN_3,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
convnext_tiny,KNN_5,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
convnext_tiny,RF,Falciparum,Malariae,0.16666666666666666,0.4166666666666667,0.19999999999999998,0.17500000000000002,0.4166666666666667,0.16666666666666666,0.1717171717171717,0.12626262626262627,0.10741723110591493,,3
convnext_tiny,LR,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
convnext_tiny,KNN_1,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
convnext_tiny,KNN_3,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
convnext_tiny,KNN_5,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
convnext_tiny,RF,Vivax,Falciparum,0.9047619047619048,0.5,0.4523809523809524,0.81859410430839,0.5,0.9047619047619048,0.475,0.8595238095238096,0.0,,2
convnext_tiny,LR,Vivax,Falciparum,0.47619047619047616,0.2631578947368421,0.30303030303030304,0.8225108225108225,0.17543859649122806,0.47619047619047616,0.2222222222222222,0.6031746031746031,0.007733602811121824,,2
convnext_tiny,KNN_1,Vivax,Falciparum,0.6190476190476191,0.34210526315789475,0.30952380952380953,0.8401360544217686,0.2280701754385965,0.6190476190476191,0.2626262626262626,0.7128427128427128,0.023414645289542353,,2
convnext_tiny,KNN_3,Vivax,Falciparum,0.6190476190476191,0.34210526315789475,0.30952380952380953,0.8401360544217686,0.2280701754385965,0.6190476190476191,0.2626262626262626,0.7128427128427128,0.023414645289542353,,2
convnext_tiny,KNN_5,Vivax,Falciparum,0.6190476190476191,0.34210526315789475,0.30952380952380953,0.8401360544217686,0.2280701754385965,0.6190476190476191,0.2626262626262626,0.7128427128427128,0.023414645289542353,,2
convnext_tiny,RF,Vivax,Ovale,0.2,0.14285714285714285,0.3333333333333333,0.7,0.09523809523809523,0.2,0.14814814814814814,0.31111111111111106,0.1636634176769943,,2
convnext_tiny,LR,Vivax,Ovale,0.2,0.23809523809523808,0.6666666666666666,1.0,0.15873015873015872,0.2,0.25,0.325,0.26462806201248157,,2
convnext_tiny,KNN_1,Vivax,Ovale,0.2,0.23809523809523808,0.6666666666666666,1.0,0.15873015873015872,0.2,0.25,0.325,0.26462806201248157,,2
convnext_tiny,KNN_3,Vivax,Ovale,0.2,0.23809523809523808,0.6666666666666666,1.0,0.15873015873015872,0.2,0.25,0.325,0.26462806201248157,,2
convnext_tiny,KNN_5,Vivax,Ovale,0.2,0.23809523809523808,0.6666666666666666,1.0,0.15873015873015872,0.2,0.25,0.325,0.26462806201248157,,2
convnext_tiny,RF,Vivax,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
convnext_tiny,LR,Vivax,Malariae,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,,3
convnext_tiny,KNN_1,Vivax,Malariae,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.12121212121212122,0.25,0.3333333333333333,0.13333333333333333,0.17777777777777778,0.09656090991705352,,3
convnext_tiny,KNN_3,Vivax,Malariae,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.12121212121212122,0.25,0.3333333333333333,0.13333333333333333,0.17777777777777778,0.09656090991705352,,3
convnext_tiny,KNN_5,Vivax,Malariae,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.12121212121212122,0.25,0.3333333333333333,0.13333333333333333,0.17777777777777778,0.09656090991705352,,3
convnext_tiny,RF,Ovale,Falciparum,0.09523809523809523,0.5,0.07407407407407407,0.021164021164021163,0.3333333333333333,0.09523809523809523,0.12121212121212122,0.03463203463203463,0.18731716231633883,,2
convnext_tiny,LR,Ovale,Falciparum,0.5714285714285714,0.5394736842105263,0.5138888888888888,0.8399470899470898,0.5394736842105263,0.5714285714285714,0.4457478005865103,0.6594051110180142,0.046829290579084706,,2
convnext_tiny,KNN_1,Ovale,Falciparum,0.6190476190476191,0.34210526315789475,0.3333333333333333,0.9047619047619048,0.2280701754385965,0.6190476190476191,0.2708333333333333,0.7351190476190477,0.10543316579753614,,2
convnext_tiny,KNN_3,Ovale,Falciparum,0.6190476190476191,0.34210526315789475,0.3333333333333333,0.9047619047619048,0.2280701754385965,0.6190476190476191,0.2708333333333333,0.7351190476190477,0.10543316579753614,,2
convnext_tiny,KNN_5,Ovale,Falciparum,0.6190476190476191,0.34210526315789475,0.3333333333333333,0.9047619047619048,0.2280701754385965,0.6190476190476191,0.2708333333333333,0.7351190476190477,0.10543316579753614,,2
convnext_tiny,RF,Ovale,Vivax,0.7333333333333333,0.5555555555555555,0.5185185185185185,0.7851851851851852,0.5555555555555555,0.7333333333333333,0.5047619047619047,0.7180952380952381,0.5846434037980073,,3
convnext_tiny,LR,Ovale,Vivax,0.7333333333333333,0.4962962962962963,0.3875,0.73,0.37222222222222223,0.7333333333333333,0.3771929824561403,0.7274853801169591,0.4872028364983394,,3
convnext_tiny,KNN_1,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.35,0.6799999999999999,0.26111111111111107,0.4666666666666667,0.2928571428571428,0.5428571428571428,0.26307610980099005,,3
