,precision,recall,f1-score,support
Falciparum,1.0,1.0,1.0,21.0
Malariae,1.0,1.0,1.0,12.0
Ovale,0.8333333333333334,1.0,0.9090909090909091,10.0
Vivax,1.0,0.8666666666666667,0.9285714285714286,15.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.9583333333333334,0.9666666666666667,0.9594155844155845,58.0
weighted avg,0.971264367816092,0.9655172413793104,0.9658531124048366,58.0
