class,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support,n_fold_evaluated
Falciparum,1.0,0.0,1.0,0.0,1.0,0.0,83.0,5
Malariae,1.0,0.0,0.8666666666666667,0.18856180831641267,0.9230769230769231,0.1087856586440842,23.0,2
