epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.7485035720371431,0.026196476072072983,1.0,1.0,1.0
2,0.05576720280993369,0.015849437564611435,1.0,1.0,1.0
3,0.05353037117710037,0.08771760761737823,1.0,1.0,1.0
4,0.011111976368533026,0.22315838932991028,0.8571428571428571,0.46153846153846156,0.8571428571428571
5,0.004536051888980212,0.2788543105125427,0.8571428571428571,0.46153846153846156,0.8571428571428571
6,0.053314524755302455,0.2579423487186432,0.8571428571428571,0.46153846153846156,0.8571428571428571
7,0.008127202396281064,0.2154865711927414,0.9047619047619048,0.475,0.9047619047619048
8,0.007920806957108359,0.2687442898750305,0.8571428571428571,0.46153846153846156,0.8571428571428571
9,0.0024001966718764554,0.24560508131980896,0.9047619047619048,0.475,0.9047619047619048
10,0.0032953490961282967,0.27230146527290344,0.8571428571428571,0.46153846153846156,0.8571428571428571
