epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.568892149934693,0.0497700497508049,1.0,1.0,1.0
2,0.059619502031377385,0.02038065530359745,1.0,1.0,1.0
3,0.01397176483084285,0.050548017024993896,1.0,1.0,1.0
4,0.007978217905416848,0.06502391397953033,1.0,1.0,1.0
5,0.002619474762237616,0.08254439383745193,1.0,1.0,1.0
6,0.00172183639369905,0.09177344292402267,1.0,1.0,1.0
7,0.006585719605301699,0.09852923452854156,1.0,1.0,1.0
8,0.002103535312464431,0.09137183427810669,1.0,1.0,1.0
9,0.0034833417370146703,0.08565939962863922,1.0,1.0,1.0
10,0.002203461164349897,0.07753106951713562,1.0,1.0,1.0
