epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.5220418203232894,0.09116750955581665,1.0,1.0,1.0
2,0.02887171044000494,0.04795912280678749,1.0,1.0,1.0
3,0.011588195477848623,0.18120159208774567,0.9166666666666666,0.6190476190476191,0.875
4,0.00886925627041344,0.33698388934135437,0.8333333333333334,0.5555555555555555,0.75
5,0.0023940148469713974,0.4546433389186859,0.7083333333333334,0.40740740740740744,0.5625
6,0.007682790576633233,0.4118506908416748,0.7083333333333334,0.40740740740740744,0.5625
7,0.00212203065253127,0.4181521236896515,0.7083333333333334,0.40740740740740744,0.5625
8,0.009837659590168675,0.39015939831733704,0.75,0.4666666666666666,0.625
9,0.002719876933286884,0.3814016282558441,0.7916666666666666,0.5151515151515151,0.6875
10,0.0027172484629745803,0.45702531933784485,0.75,0.4666666666666666,0.625
