model,classifier,fold,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_val,split
radiomics,RF,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,RF,fold4,0.9482758620689655,0.925,0.9583333333333334,0.9568965517241379,0.925,0.9482758620689655,0.9331550802139037,0.9460630647243223,0.9321442300606825,0.9985707364341085,4,test
radiomics,LR,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,LR,fold4,0.9310344827586207,0.9083333333333334,0.9182692307692308,0.9302055702917772,0.9083333333333334,0.9310344827586207,0.9102508960573477,0.9283821530095167,0.906308732234839,0.9960998062015504,4,test
radiomics,KNN_1,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_1,fold4,0.8275862068965517,0.7583333333333333,0.7583333333333333,0.8137931034482759,0.7583333333333333,0.8275862068965517,0.7125,0.7873563218390806,0.783090082194448,0.8519163928210314,4,test
radiomics,KNN_3,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_3,fold4,0.8275862068965517,0.7583333333333333,0.7583333333333333,0.8137931034482759,0.7583333333333333,0.8275862068965517,0.7125,0.7873563218390806,0.783090082194448,0.8865849869396697,4,test
radiomics,KNN_5,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_5,fold4,0.8448275862068966,0.7833333333333334,0.8166666666666667,0.8597701149425288,0.7833333333333334,0.8448275862068966,0.7558023872679045,0.8199945120278058,0.8054403263792271,0.9436349321705426,4,test
radiomics,RF,fold5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,RF,fold5,0.9655172413793104,0.95,0.9705882352941176,0.9695740365111561,0.95,0.9655172413793104,0.9565972222222222,0.9646791187739463,0.9541140661025348,0.9985707364341085,4,test
radiomics,LR,fold5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,LR,fold5,0.9137931034482759,0.8833333333333333,0.9009372979961214,0.9138153935314178,0.8833333333333333,0.9137931034482759,0.8852205882352941,0.9086866125760649,0.8838051396693456,0.9957122093023255,4,test
radiomics,KNN_1,fold5,0.9523809523809523,0.9523809523809523,0.5,1.0,0.47619047619047616,0.9523809523809523,0.4878048780487805,0.975609756097561,0.0,,1,val
radiomics,KNN_1,fold5,0.8103448275862069,0.7464285714285714,0.7387770897832817,0.7919291128429593,0.7464285714285714,0.8103448275862069,0.6978674927878311,0.7684447262993208,0.7572729737117194,0.8428674496846261,4,test
radiomics,KNN_3,fold5,0.9523809523809523,0.9523809523809523,0.5,1.0,0.47619047619047616,0.9523809523809523,0.4878048780487805,0.975609756097561,0.0,,1,val
radiomics,KNN_3,fold5,0.8103448275862069,0.7464285714285714,0.7356811145510836,0.7848831002455429,0.7464285714285714,0.8103448275862069,0.6983480103563713,0.7661801242059423,0.7547529305379699,0.8625384528640658,4,test
radiomics,KNN_5,fold5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_5,fold5,0.8275862068965517,0.7583333333333333,0.7516447368421053,0.8052404718693286,0.7583333333333333,0.8275862068965517,0.7110215053763441,0.7845754542083797,0.7804659762426416,0.9243883236434108,4,test
