epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8621429258638674,1.637354204389784,0.24444444444444444,0.13095238095238096,0.24444444444444444
2,0.38977410744976354,0.7354670981566112,0.6666666666666666,0.26666666666666666,0.6666666666666666
3,0.4214313928339932,0.9565613942013846,0.6444444444444445,0.3918918918918919,0.6444444444444445
4,0.5377795921789633,0.5276895840755768,0.7777777777777778,0.4375,0.7777777777777778
5,0.37066303247267063,0.3024948795636495,0.8444444444444444,0.4578313253012048,0.8444444444444444
6,0.34315656058423155,0.2530098606314924,0.8666666666666667,0.4642857142857143,0.8666666666666667
7,0.339669534214982,0.1363936684611771,0.9555555555555556,0.48863636363636365,0.9555555555555556
8,0.1617853105873675,0.13972542310754457,1.0,1.0,1.0
9,0.20202339313051723,0.2031150677965747,0.9333333333333333,0.3218390804597701,0.9333333333333333
10,0.17554223993877033,0.1704787374370628,0.8888888888888888,0.47058823529411764,0.8888888888888888
