epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.9300257182512127,0.9103193283081055,0.9166666666666666,0.6190476190476191,0.875
2,0.2454228684550426,0.30667322874069214,0.9583333333333334,0.6444444444444445,0.9375
3,0.06769851766160277,0.0956406518816948,1.0,1.0,1.0
4,0.04719172002839261,0.021984323859214783,1.0,1.0,1.0
5,0.030906310701956513,0.005123681388795376,1.0,1.0,1.0
6,0.01835507797993353,0.0027303812094032764,1.0,1.0,1.0
7,0.06757870933315793,0.0014395815087482333,1.0,1.0,1.0
8,0.028880026924317,0.0008863197872415185,1.0,1.0,1.0
9,0.0161344652048877,0.0007332252571359277,1.0,1.0,1.0
10,0.047482445503997266,0.0005955894012004137,1.0,1.0,1.0
