class,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support,n_fold_evaluated
Falciparum,1.0,0.0,1.0,0.0,1.0,0.0,83.0,5
Malariae,1.0,0.0,1.0,0.0,1.0,0.0,23.0,2
