epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,fold
6,0.013782555774391235,0.05028081280844552,1.0,1.0,1.0,1
3,0.06769851766160277,0.0956406518816948,1.0,1.0,1.0,2
1,0.7250213146209716,0.1667647808790207,1.0,1.0,1.0,3
1,1.072627844318511,0.44992780685424805,1.0,1.0,1.0,4
1,0.999501723766327,0.11122564971446991,1.0,1.0,1.0,5
