epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.7250213146209716,0.1667647808790207,1.0,1.0,1.0
2,0.1490778895361083,0.01326980721205473,1.0,1.0,1.0
3,0.028933264714266573,0.005637363530695438,1.0,1.0,1.0
4,0.021184167212673594,0.0030639604665338993,1.0,1.0,1.0
5,0.01207179491009031,0.0014446888817474246,1.0,1.0,1.0
6,0.01491989865899086,0.0010500269709154963,1.0,1.0,1.0
7,0.03305690794118813,0.000725589576177299,1.0,1.0,1.0
8,0.017932471007640872,0.0016888000536710024,1.0,1.0,1.0
9,0.010071957137967859,0.004462684504687786,1.0,1.0,1.0
10,0.006047015118279628,0.008324488066136837,1.0,1.0,1.0
