model,classifier,source_species,target_species,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_test
radiomics,RF,Falciparum,Vivax,0.6666666666666666,0.6666666666666666,0.35606060606060613,0.5075757575757576,0.6666666666666666,0.6666666666666666,0.43333333333333335,0.5666666666666667,0.46122784478758,,3
radiomics,LR,Falciparum,Vivax,0.9333333333333333,0.6666666666666666,0.5,0.9333333333333333,0.5,0.9333333333333333,0.5,0.9333333333333333,0.8813559322033898,,3
radiomics,KNN_1,Falciparum,Vivax,0.6,0.3333333333333333,0.19999999999999998,0.36,0.3333333333333333,0.6,0.25,0.45,0.0,,3
radiomics,KNN_3,Falciparum,Vivax,0.6,0.3333333333333333,0.19999999999999998,0.36,0.3333333333333333,0.6,0.25,0.45,0.0,,3
radiomics,KNN_5,Falciparum,Vivax,0.6,0.3333333333333333,0.19999999999999998,0.36,0.3333333333333333,0.6,0.25,0.45,0.0,,3
radiomics,RF,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
radiomics,LR,Falciparum,Ovale,0.3,0.5,0.125,0.1125,0.3333333333333333,0.3,0.1818181818181818,0.16363636363636364,0.1636634176769943,,2
radiomics,KNN_1,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
radiomics,KNN_3,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
radiomics,KNN_5,Falciparum,Ovale,0.7,0.5,0.35,0.48999999999999994,0.5,0.7,0.4117647058823529,0.5764705882352941,0.0,,2
radiomics,RF,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
radiomics,LR,Falciparum,Malariae,0.08333333333333333,0.3333333333333333,0.030303030303030304,0.007575757575757576,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.013888888888888888,-0.07242068243779014,,3
radiomics,KNN_1,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
radiomics,KNN_3,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
radiomics,KNN_5,Falciparum,Malariae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
