epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8133516212304434,0.5191189381811354,0.9722222222222222,0.6470588235294118,0.9444444444444444
2,0.26115501920382184,0.33726513716909623,0.9722222222222222,0.6470588235294118,0.9444444444444444
3,0.15647158722082774,0.8283445437749227,0.7777777777777778,0.39999999999999997,0.5555555555555556
4,0.07119489486018817,0.2505861123402913,0.9444444444444444,0.625,0.8888888888888888
5,0.043609556866188844,0.036502808125482664,1.0,1.0,1.0
6,0.024269441266854604,0.012724967880381478,1.0,1.0,1.0
7,0.019504640313486258,0.008177559331266416,1.0,1.0,1.0
8,0.028401841797555488,0.01155762809018294,1.0,1.0,1.0
9,0.032737960542241734,0.02034330005860991,1.0,1.0,1.0
10,0.0044099259500702225,0.02371288566953606,1.0,1.0,1.0
