epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8617715372684154,0.321708619594574,1.0,1.0,1.0
2,0.22890874997098395,0.08213283866643906,1.0,1.0,1.0
3,0.08528261996330098,0.05200159549713135,1.0,1.0,1.0
4,0.032833372183302616,0.018808633089065552,1.0,1.0,1.0
5,0.02240676621094029,0.0034889201633632183,1.0,1.0,1.0
6,0.008822470531858344,0.0023007355630397797,1.0,1.0,1.0
7,0.013448150749219226,0.0028462582267820835,1.0,1.0,1.0
8,0.012627852149307728,0.0036227384116500616,1.0,1.0,1.0
9,0.01099746785265334,0.0036229463294148445,1.0,1.0,1.0
10,0.0060664234271748585,0.0027508772909641266,1.0,1.0,1.0
