epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.9133850813301561,0.48943096033313815,0.9298245614035088,0.912878787878788,0.9230769230769231
2,0.2345684859292959,0.18219984342393122,0.9824561403508771,0.9780952380952381,0.9807692307692308
3,0.10674991215171378,0.05502286491294702,1.0,1.0,1.0
4,0.030219317407779445,0.02168443947703692,1.0,1.0,1.0
5,0.04731269110773319,0.02547697564423607,1.0,1.0,1.0
6,0.005824342257422364,0.014191757005296256,1.0,1.0,1.0
7,0.006554276682436466,0.012152809911129768,1.0,1.0,1.0
8,0.006212488352473265,0.017040007273878967,1.0,1.0,1.0
9,0.007238681982058326,0.020830174123770313,1.0,1.0,1.0
10,0.004406276594214385,0.012949293618204823,1.0,1.0,1.0
