fold,class,precision,recall,f1_score,support
1,Falciparum,1.0,1.0,1.0,30.0
1,Malariae,0.9230769230769231,0.8,0.8571428571428571,15.0
1,Ovale,0.8571428571428571,0.9473684210526315,0.9,19.0
1,Vivax,1.0,1.0,1.0,15.0
2,Falciparum,1.0,1.0,1.0,9.0
2,Malariae,1.0,1.0,1.0,13.0
2,Ovale,1.0,1.0,1.0,10.0
2,Vivax,1.0,1.0,1.0,25.0
