epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.6835115127956745,0.1417868435382843,1.0,1.0,1.0
2,0.17841369159442863,0.03864143043756485,1.0,1.0,1.0
3,0.06552030622344657,0.018037686124444008,1.0,1.0,1.0
4,0.0376917425658285,0.01581263355910778,1.0,1.0,1.0
5,0.035870227617086824,0.01511626597493887,1.0,1.0,1.0
6,0.02296834907580897,0.022222695872187614,1.0,1.0,1.0
7,0.023820991944713692,0.008080670610070229,1.0,1.0,1.0
8,0.017940776019366746,0.008196819573640823,1.0,1.0,1.0
9,0.009799382812583569,0.0033927138429135084,1.0,1.0,1.0
10,0.004932343191707257,0.0025002267211675644,1.0,1.0,1.0
