epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,1.142356572807699,0.8332816362380981,0.8333333333333334,0.3333333333333333,0.5
2,0.625485887993937,0.3428238034248352,0.8333333333333334,0.3333333333333333,0.5
3,0.5893011300460153,0.19533632695674896,0.9444444444444444,0.6,0.8333333333333333
4,0.45590899128844775,0.45298463106155396,0.7777777777777778,0.6153846153846154,0.8666666666666667
5,0.31037595824918884,0.16012099385261536,0.8888888888888888,0.4413793103448276,0.8
6,0.192141557517259,0.019332505762577057,0.9444444444444444,0.6,0.8333333333333333
7,0.18826020897730536,0.2589260935783386,0.7777777777777778,0.35714285714285715,0.6
8,0.15013889082963916,1.3950059413909912,0.6666666666666666,0.33653846153846156,0.5333333333333333
9,0.19094668263974396,4.202935218811035,0.6111111111111112,0.325,0.5
10,0.6556945127853449,3.995163917541504,0.3888888888888889,0.26785714285714285,0.3666666666666667
