fold,class,precision,recall,f1_score,support
1,Falciparum,1.0,1.0,1.0,30.0
1,Malariae,0.9375,1.0,0.967741935483871,15.0
1,Ovale,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
1,Vivax,1.0,0.9333333333333333,0.9655172413793104,15.0
2,Falciparum,1.0,1.0,1.0,9.0
2,Malariae,1.0,1.0,1.0,12.0
2,Ovale,1.0,0.8,0.8888888888888888,10.0
2,Vivax,0.9259259259259259,1.0,0.9615384615384616,25.0
