epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.9933575622795164,0.6793852821985881,0.8133333333333334,0.7848556195330388,0.8
2,0.1822253474893496,0.3598001003265381,0.9466666666666667,0.93290770609319,0.9333333333333333
3,0.09615495500638503,0.2138638416926066,0.96,0.9494949494949495,0.95
4,0.08429415928300961,0.2074046850204468,0.9466666666666667,0.9341897678611675,0.9333333333333333
5,0.04740408640499263,0.19499846458435058,0.9466666666666667,0.93290770609319,0.9333333333333333
6,0.0877947093442429,0.23377328077952067,0.9466666666666667,0.93290770609319,0.9333333333333333
7,0.023056533909583277,0.15318146467208862,0.9466666666666667,0.93290770609319,0.9333333333333333
8,0.03602877351664757,0.1721182902654012,0.9466666666666667,0.93290770609319,0.9333333333333333
9,0.03156840281431065,0.14652000824610392,0.9466666666666667,0.93290770609319,0.9333333333333333
10,0.01964107513889786,0.15375441551208496,0.9733333333333334,0.9666481275491288,0.9666666666666668
