model,classifier,fold,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_val,split
convnext_tiny,RF,fold1,0.8285714285714286,0.8,0.5,1.0,0.4,0.8285714285714286,0.4375,0.8928571428571429,0.7282765548412854,,2,val
convnext_tiny,RF,fold1,0.9482758620689655,0.925,0.9583333333333334,0.9568965517241379,0.925,0.9482758620689655,0.9331550802139037,0.9460630647243223,0.9321442300606825,0.9846051356589147,4,test
convnext_tiny,LR,fold1,0.8571428571428571,0.8333333333333333,0.5,1.0,0.41666666666666663,0.8571428571428571,0.45,0.9142857142857143,0.7649875767026306,,2,val
convnext_tiny,LR,fold1,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.992720445736434,4,test
convnext_tiny,KNN_1,fold1,0.8857142857142857,0.8666666666666667,0.5,1.0,0.43333333333333335,0.8857142857142857,0.46153846153846156,0.9340659340659341,0.8046797987672247,,2,val
convnext_tiny,KNN_1,fold1,0.9655172413793104,0.9541666666666666,0.959375,0.9665948275862069,0.9541666666666666,0.9655172413793104,0.9560659186535765,0.9654205155486772,0.9530624947113767,0.9715721899224806,4,test
convnext_tiny,KNN_3,fold1,0.8857142857142857,0.8666666666666667,0.5,1.0,0.43333333333333335,0.8857142857142857,0.46153846153846156,0.9340659340659341,0.8046797987672247,,2,val
convnext_tiny,KNN_3,fold1,0.9655172413793104,0.9541666666666666,0.959375,0.9665948275862069,0.9541666666666666,0.9655172413793104,0.9560659186535765,0.9654205155486772,0.9530624947113767,0.9831637596899225,4,test
convnext_tiny,KNN_5,fold1,0.8857142857142857,0.8666666666666667,0.5,1.0,0.43333333333333335,0.8857142857142857,0.46153846153846156,0.9340659340659341,0.8046797987672247,,2,val
convnext_tiny,KNN_5,fold1,0.9655172413793104,0.9541666666666666,0.959375,0.9665948275862069,0.9541666666666666,0.9655172413793104,0.9560659186535765,0.9654205155486772,0.9530624947113767,0.9812802810077519,4,test
convnext_tiny,RF,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
convnext_tiny,RF,fold2,0.9482758620689655,0.9291666666666667,0.9583333333333334,0.9568965517241379,0.9291666666666667,0.9482758620689655,0.9386253842775583,0.9483364378416852,0.9314201049304713,0.9950581395348838,4,test
convnext_tiny,LR,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
convnext_tiny,LR,fold2,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9948037790697675,4,test
convnext_tiny,KNN_1,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
convnext_tiny,KNN_1,fold2,0.9655172413793104,0.9541666666666666,0.959375,0.9665948275862069,0.9541666666666666,0.9655172413793104,0.9560659186535765,0.9654205155486772,0.9530624947113767,0.9715721899224806,4,test
convnext_tiny,KNN_3,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
convnext_tiny,KNN_3,fold2,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9834241763565892,4,test
convnext_tiny,KNN_5,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
convnext_tiny,KNN_5,fold2,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9818011143410852,4,test
convnext_tiny,RF,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,RF,fold3,0.9482758620689655,0.925,0.9583333333333334,0.9568965517241379,0.925,0.9482758620689655,0.9331550802139037,0.9460630647243223,0.9321442300606825,0.9907703488372093,4,test
convnext_tiny,LR,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,LR,fold3,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9944161821705426,4,test
convnext_tiny,KNN_1,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,KNN_1,fold3,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.984593023255814,4,test
convnext_tiny,KNN_3,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,KNN_3,fold3,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9836845930232558,4,test
convnext_tiny,KNN_5,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,KNN_5,fold3,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9818011143410852,4,test
convnext_tiny,RF,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,RF,fold4,0.9482758620689655,0.925,0.9583333333333334,0.9568965517241379,0.925,0.9482758620689655,0.9331550802139037,0.9460630647243223,0.9321442300606825,0.9946765988372093,4,test
convnext_tiny,LR,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,LR,fold4,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9944161821705426,4,test
convnext_tiny,KNN_1,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,KNN_1,fold4,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.984593023255814,4,test
convnext_tiny,KNN_3,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
convnext_tiny,KNN_3,fold4,0.9827586206896551,0.975,0.984375,0.9838362068965517,0.975,0.9827586206896551,0.9787775891341256,0.9825829869445583,0.9767186200021832,0.9836845930232558,4,test
convnext_tiny,KNN_5,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
