epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.7126245959517882,0.18443192541599274,1.0,1.0,1.0
2,0.1596032079962111,0.048788975924253464,1.0,1.0,1.0
3,0.07698746624681138,0.019897328689694405,1.0,1.0,1.0
4,0.04162040168477088,0.016834113746881485,1.0,1.0,1.0
5,0.015624865889549255,0.017292924225330353,1.0,1.0,1.0
6,0.016339345921560663,0.019700592383742332,1.0,1.0,1.0
7,0.02003816077389668,0.01111356820911169,1.0,1.0,1.0
8,0.031696985946180894,0.01600930653512478,1.0,1.0,1.0
9,0.008293556337504043,0.008394130505621433,1.0,1.0,1.0
10,0.02825470933133794,0.00558824697509408,1.0,1.0,1.0
