epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.9773604221965956,0.7324724197387695,0.8333333333333334,0.3225806451612903,0.5
2,0.4293140855388365,0.8453930616378784,0.9444444444444444,0.6,0.8333333333333333
3,0.31879992955836695,0.9903203248977661,0.5555555555555556,0.3429951690821256,0.6
4,0.17638455018185187,0.34736692905426025,0.8888888888888888,0.8392857142857143,0.9333333333333333
5,0.0895243757876797,0.40100499987602234,0.8333333333333334,0.582010582010582,0.9
6,0.11957662088283594,0.009111053310334682,1.0,1.0,1.0
7,0.1398972851642664,0.03510415554046631,1.0,1.0,1.0
8,0.10924538538075876,0.02201171964406967,1.0,1.0,1.0
9,0.08200949689616328,0.5717589855194092,0.8333333333333334,0.6296296296296297,0.9
10,0.06666653484537982,3.03494930267334,0.3333333333333333,0.4444444444444444,0.6
