epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,1.0808069978961508,0.5370757179924205,0.7721518987341772,0.6598557692307693,0.7
2,0.19708950772085262,0.327294072018394,0.8987341772151899,0.8785714285714286,0.8771929824561403
3,0.11904918328496336,0.29897848853865,0.8860759493670886,0.8666085440278989,0.8675438596491228
4,0.020547438213843427,0.29947061052758106,0.9240506329113924,0.9089285714285714,0.9070175438596492
5,0.02121226216545542,0.33033382411032347,0.9113924050632911,0.8893023255813953,0.8868421052631579
6,0.014211544667491477,0.32289338584906785,0.9113924050632911,0.8925022583559169,0.8903508771929824
7,0.008045314761404772,0.3678880777545981,0.9113924050632911,0.8893023255813953,0.8868421052631579
8,0.00988079254152893,0.44673726125620306,0.9113924050632911,0.885024154589372,0.8833333333333333
9,0.009545974433422089,0.409479874940707,0.9113924050632911,0.8893023255813953,0.8868421052631579
10,0.020685431838945577,0.48687747468629594,0.9113924050632911,0.8893023255813953,0.8868421052631579
