fold,class,precision,recall,f1_score,support
1,Falciparum,1.0,1.0,1.0,30.0
1,Malariae,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
1,Ovale,0.8095238095238095,0.8947368421052632,0.85,19.0
1,Vivax,1.0,1.0,1.0,15.0
2,Falciparum,1.0,1.0,1.0,9.0
2,Malariae,1.0,1.0,1.0,13.0
2,Ovale,1.0,1.0,1.0,10.0
2,Vivax,1.0,1.0,1.0,25.0
