epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8843044864585976,0.44681941887788607,0.8421052631578947,0.7900608519269777,0.8269230769230769
2,0.34122633622362725,0.18634004547799887,1.0,1.0,1.0
3,0.23690633826396046,0.07413338650867604,1.0,1.0,1.0
4,0.07148958913056679,0.02653294273962577,1.0,1.0,1.0
5,0.029094514479629355,0.020345998976967837,1.0,1.0,1.0
6,0.06226904768180224,0.00402891441869239,1.0,1.0,1.0
7,0.01702007748722251,0.002668980664263169,1.0,1.0,1.0
8,0.012532832746217453,0.002645602143418632,1.0,1.0,1.0
9,0.010883718001613625,0.006110016873367785,1.0,1.0,1.0
10,0.012004441396010663,0.017103331763983556,1.0,1.0,1.0
