class,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support,n_fold_evaluated
Falciparum,1.0,0.0,1.0,0.0,1.0,0.0,104.0,5
Malariae,1.0,0.0,1.0,0.0,1.0,0.0,35.0,3
Ovale,0.96875,0.04419417382415922,0.95,0.0707106781186547,0.9575551782682512,0.014406250210931377,25.0,2
Vivax,0.9807692307692308,0.02719641466102108,0.9666666666666667,0.04714045207910316,0.9729546991210277,0.010518153607913427,40.0,2
